username,weeks,class,length,notebook_open,code_speed,Execution,copy_paste,empty
108208505,1,1,9,44,44,11,0,0
108208505,2,1,100,17,39,25,19,0
108208505,3,0,155,9,43,25,21,0
108208505,4,-1,1,0,0,0,0,100
108208505,5,0,372,4,38,18,37,0
108208505,6,0,181,7,41,15,34,0
108208505,7,-1,1,0,0,0,0,100
108401512,1,1,3,66,33,0,0,0
108401512,2,0,190,15,43,15,25,0
108401512,3,0,422,11,44,27,16,0
108401512,4,1,3,66,33,0,0,0
108401512,5,0,257,25,43,16,14,0
108401512,6,0,229,19,44,16,19,0
108401512,7,0,645,5,34,28,31,0
108408513,1,-1,1,0,0,0,0,100
108408513,2,1,58,18,39,24,17,0
108408513,3,0,220,8,40,22,28,0
108408513,4,0,143,5,38,24,31,0
108408513,5,0,177,7,34,27,31,0
108408513,6,0,169,8,41,26,23,0
108408513,7,0,428,2,42,38,15,0
108409003,1,-1,1,0,0,0,0,100
108409003,2,1,78,11,44,26,16,0
108409003,3,0,168,19,44,15,20,0
108409003,4,-1,1,0,0,0,0,100
108409003,5,0,645,10,40,27,22,0
108409003,6,0,356,12,44,28,15,0
108409003,7,0,428,8,42,31,17,0
108409019,1,-1,1,100,0,0,0,0
108409019,2,1,101,22,43,13,19,0
108409019,3,-1,1,0,0,0,0,100
108409019,4,-1,1,0,0,0,0,100
108409019,5,-1,1,0,0,0,0,100
108409019,6,-1,1,0,0,0,0,100
108409019,7,-1,1,0,0,0,0,100
108409021,1,-1,1,0,0,0,0,100
108409021,2,0,131,10,45,26,17,0
108409021,3,0,229,11,43,24,20,0
108409021,4,-1,1,0,0,0,0,100
108409021,5,0,250,6,36,26,30,0
108409021,6,0,171,9,44,18,28,0
108409021,7,0,568,6,39,27,26,0
108409515,1,1,22,18,50,31,0,0
108409515,2,0,170,13,44,28,12,0
108409515,3,0,229,12,43,22,21,0
108409515,4,-1,1,0,0,0,0,100
108409515,5,0,253,10,43,27,18,0
108409515,6,0,253,9,44,23,22,0
108409515,7,0,434,11,40,22,25,0
108409518,1,-1,1,0,0,0,0,100
108409518,2,0,130,23,43,16,16,0
108409518,3,0,249,11,43,21,23,0
108409518,4,-1,1,0,0,0,0,100
108409518,5,0,154,14,40,18,26,0
108409518,6,0,194,13,45,13,26,0
108409518,7,0,141,18,40,17,23,0
108409519,1,1,9,11,44,33,11,0
108409519,2,0,132,12,42,29,15,0
108409519,3,0,281,11,43,19,25,0
108409519,4,-1,1,0,0,0,0,100
108409519,5,0,301,13,41,20,24,0
108409519,6,0,228,11,44,16,27,0
108409519,7,0,136,18,44,13,24,0
108409523,1,1,18,33,50,16,0,0
108409523,2,1,116,14,39,25,19,0
108409523,3,0,237,10,42,16,29,0
108409523,4,1,4,50,50,0,0,0
108409523,5,0,196,9,38,23,28,0
108409523,6,0,308,14,40,16,28,0
108409523,7,0,398,6,39,23,30,0
108409526,1,-1,1,0,0,0,0,100
108409526,2,1,65,29,46,13,10,0
108409526,3,1,126,12,42,26,17,0
108409526,4,-1,1,0,0,0,0,100
108409526,5,1,101,15,40,14,28,0
108409526,6,1,29,20,34,13,31,0
108409526,7,-1,1,0,0,0,0,100
108602005,1,1,22,31,45,18,4,0
108602005,2,0,222,10,45,28,14,0
108602005,3,0,345,9,46,25,18,0
108602005,4,-1,1,0,0,0,0,100
108602005,5,0,378,3,43,27,25,0
108602005,6,1,53,16,41,15,26,0
108602005,7,0,223,7,43,30,17,0
108801501,1,1,2,50,50,0,0,0
108801501,2,1,119,18,42,21,17,0
108801501,3,0,283,13,45,23,17,0
108801501,4,-1,1,100,0,0,0,0
108801501,5,0,258,7,37,28,26,0
108801501,6,0,140,11,40,23,24,0
108801501,7,1,68,14,45,20,19,0
108821021,1,1,4,50,50,0,0,0
108821021,2,0,129,15,44,17,22,0
108821021,3,0,266,10,44,30,14,0
108821021,4,1,12,41,50,0,8,0
108821021,5,-1,1,0,0,0,0,100
108821021,6,-1,1,0,0,0,0,100
108821021,7,1,15,6,46,40,6,0
109101504,1,1,6,33,50,16,0,0
109101504,2,0,201,16,43,22,16,0
109101504,3,1,92,18,39,21,20,0
109101504,4,-1,1,0,0,0,0,100
109101504,5,0,134,22,38,12,26,0
109101504,6,0,180,11,43,22,22,0
109101504,7,1,127,10,43,31,14,0
